Constructeur,Modele,Type_offre,Prix_affiche,Prix_net_estime,Promo_reduction,CEE,Reprise_Fiat_500X,Conditions,Source_principale,Signaux_forums_presse,Confiance
Hyundai,KONA Electric,LLD,199 €/mois,199 €/mois,"Loyer d'appel affiché",Non précisé sur l'extrait,"Oui via distributeur",Offre de financement locale à vérifier,"https://www.hyundai.com/fr/fr/modeles/kona-electric.html",Très bon retour usage réel/autonomie,Élevée
Kia,EV3,Comptant,36490 €,36490 €,"Prix à partir de",Non précisé,"Oui via réseau",A confirmer selon offre locale et CEE,"https://www.kia.com/fr/ (gamme)",Très forte traction média/comparatifs,Élevée
Volkswagen,ID.3 / ID.4,Offres du moment,NC,NC,"Offres disponibles mais extraction auto bloquée",Potentiellement éligible selon version,"Oui",Passage par concession conseillé,"https://www.volkswagen.fr/fr/offres-et-financements/offres-du-moment.html",ID.3 régulièrement en promo réseau,Moyenne
Skoda,Elroq / Enyaq,Offres du moment,NC,NC,"Campagnes promo réseau fréquentes",Potentiellement éligible selon version,"Oui",Extraction automatique partielle,"https://www.skoda.fr (offres & financement)",Très bon bouche-à-oreille sur espace/prix,Moyenne
Nissan,Leaf / Ariya,Offres filtrables,NC,NC,"Offres listées via filtre modèle",Potentiellement éligible,"Oui",Nécessite sélection modèle sur page,"https://www.nissan.fr/offres.html",Ariya souvent négociable en concession,Moyenne
BMW,Gamme i (iX1/i4/i5),Offres exclusives,NC,NC,"Offres électriques et CEE mentionnés côté marque",CEE mentionné côté BMW,"Oui",Surtout offres LOA/LLD premium,"https://www.bmw.fr/fr/accueil.html",Négociation forte en fin de trimestre,Faible-Moyenne
Mercedes,EQA/EQB/EQE,Offres Mercedes,NC,NC,"Offres financières réseau",Potentiellement éligible selon modèle,"Oui",Variable selon concession,"https://www.mercedes-benz.fr/passengercars/offres.html",Remises parfois fortes sur stock,Faible-Moyenne
MG,MG4 / MGS5 EV,Offres du moment,NC,NC,"Offres du moment présentes mais non extraites en clair",Potentiellement éligible,"Oui",Demande devis concession MG,"https://www.mgmotor.fr/",Souvent agressif en prix catalogue,Faible-Moyenne
BYD,Dolphin / Atto 3 / Seal,Offres du moment,NC,NC,"Rubrique offres du moment visible",Potentiellement éligible,"Oui",URL offres BYD dynamique, extraction limitée,"https://www.byd.com/fr",Prix compétitifs signalés en presse,Faible-Moyenne
Volvo,EX30 / EX40,Promos réseau,NC,NC,"Promos ponctuelles réseau",Potentiellement éligible,"Oui",A checker en concession Volvo FR,"https://www.volvocars.com/fr",Forte demande EX30,Faible
Mini,Cooper E / Aceman,Offres Mini,NC,NC,"Offres Mini accessibles via portail",Potentiellement éligible,"Oui",Plus facile via devis concession,"https://www.mini.fr/fr_FR/home/offres.html",Positionnement premium urbain,Faible
